Year,Country,CountryName,Population,AverageTemperature,MinTemperature,MaxTemperature,GDP,Emissions,TotalDeaths,TotalAffected,TotalDamage,Meantemperature,AN_Temp,MeanGDP,AN_GDP,MeanCO2,AN_CO2,MeanPop,AN_POP
1963,FRA,France,48803680,12.07283333,11.80058333,12.34508333,85551113767,334.2264,0,0,0,13.32412736,1.251294025,1.04E+12,9.54E+11,413.2225113,78.99611132,56972193.17,8168513.17
1963,GBR,United Kingdom,53650000,7.79075,7.537333333,8.044166667,85443766670,603.3857,0,0,0,8.956007862,1.165257862,1.01E+12,9.24E+11,581.3134792,-22.07222075,57367943.06,3717943.057
1963,IND,India,477527970,24.09575,23.82183333,24.36966667,47776000900,154.0682,512,0,0,24.35244969,0.256699686,3.92E+11,3.44E+11,646.297066,492.228866,819442916.4,341914946.4
1963,ITA,Italy,51252000,12.60458333,12.385,12.82416667,57710743060,164.5562,1917,0,0,13.25787264,0.653289308,8.47E+11,7.89E+11,368.5825604,204.0263604,55873572.26,4621572.264
1963,JPN,Japan,96812000,12.29325,12.08183333,12.50466667,69498131797,324.8355,295,0,0,12.46862107,0.175371069,2.50E+12,2.43E+12,954.1336679,629.2981679,116985539.1,20173539.09
1963,KOR,"Korea, Rep.",27261747,11.489,11.19866667,11.77933333,3988246109,21.0832,116,0,0,12.40232862,0.913328616,3.30E+11,3.26E+11,240.3905358,219.3073358,39940599.32,12678852.32
1963,MEX,Mexico,41939880,20.87941667,20.64258333,21.11625,1.70E+10,66.2922,0,0,0,20.90401101,0.02459434,3.63E+11,3.46E+11,280.9360774,214.6438774,78762835.77,36822955.77
1963,NGA,Nigeria,48032246,27.07708333,26.77016667,27.384,5165489010,5.3436,0,0,0,27.0908978,0.013814465,62434227185,57268738175,53.07827358,47.73467358,92269841.08,44237595.08
1963,PAK,Pakistan,48309315,21.25108333,20.987,21.51516667,4540529105,15.6002,0,0,0,21.07655818,-0.174525157,52806213638,48265684533,65.45923962,49.85903962,100721180.1,52411865.06
1963,USA,United States,189242000,9.08,8.894083333,9.265916667,6.39E+11,3116.0224,442,0,0,9.135677673,0.055677673,5.95E+12,5.31E+12,4835.256547,1719.234147,244696395.8,55454395.77
